Supplementary Table 3: Total identified proteins and their respective NASF before filtration steps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main.Acessions,Sample.1,Sample.2,Sample.3,Sample.4,Sample.5,Sample.6,Sample.7,Sample.8,Sample.9,Sample.10,Sample.11,Sample.12,Sample.13,Sample.14,Sample.15,Sample.16,Sample.17,Sample.18,Sample.19,Sample.20,Sample.21,Control.1,Control.2,Control.3,Control.4,Control.5,Control.6,Control.7,Control.8,Control.9
Groups,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Control ,Control ,Control ,Control ,Control ,Control ,Control ,Control ,Control 
A0A087WZT0,NA,0.002061856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087X080,0.000236239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087X0P0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00039032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087X0Q4,0.012254902,0.022818067,0.018382353,0.011846405,0.044117647,0.008006536,0.012867647,0.035198802,0.014705882,0.015247926,0.015441176,0.011848739,0.029381378,0.027777778,0.010854342,0.023284314,0.026143791,0.008823529,0.022058824,0.031180893,0.019607843,0.044117647,0.014705882,0.022058824,0.012745098,0.011907813,NA,0.029411765,NA,0.014705882
A0A087X0X3,NA,0.001618123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087X1J7,NA,0.023534799,0.028571429,0.014652015,0.005494505,0.018086081,0.012820513,0.026465201,0.015567766,0.024175824,0.022344322,0.004120879,0.018315018,0.010308739,0.002747253,0.016025641,NA,0.007326007,0.01510989,0.004578755,NA,NA,0.016941392,NA,0.013278388,0.008241758,NA,NA,NA,NA
A0A087X1N7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000233645,NA,NA,NA,NA,NA,NA,NA,NA
A0A087X209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002583979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087X232,NA,0.003644798,0.003976143,NA,0.001988072,0.001988072,0.000994036,0.003976143,0.000994036,0.000994036,0.002485089,NA,0.004638834,NA,0.001988072,0.001491054,NA,0.003976143,0.003976143,0.003976143,0.001988072,0.004970179,0.001988072,0.001988072,0.002650762,0.002982107,0.001988072,0.001988072,0.003976143,0.001988072
A0A087X243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014492754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087X2D0,NA,NA,NA,0.010526316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
